,source_id,ra,dec,l,b,parallax,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,dr2_radial_velocity,dr2_radial_velocity_error,r_med_geo,r_lo_geo,r_hi_geo,cube_id,pmra_deviation,pmdec_deviation
197,5835113573101867520,243.44525038267332,-57.57678559702253,327.4908101984337,-4.699284927051237,73.54824313531948,3999.5337,-854.0397394406546,0.020775883,-1411.4654556946618,0.01741263,8.895606,0.17833827,13.591557,13.588224,13.594515,44,805.4375086376468,1251.9297874452177
256,5902750168276592256,230.43977568214885,-48.31885569587278,327.0704755207467,7.381127472938487,67.84669435693799,1129.7673,-1623.2748018634263,0.060733754,-275.5476122093827,0.07235296,-68.663185,0.1631026,14.735769,14.7205515,14.746809,44,1574.6725710604185,116.01194395993849
86,4364527594192166400,256.26005485188347,-5.071571994790812,15.360616412782683,20.892958560531234,95.56697122169996,3957.7922,-916.34292657201,0.025375895,-1138.7618906254847,0.018682174,34.136364,0.15184894,10.45844,10.456138,10.461031,45,855.9972636810878,1016.7314149574215
87,4364480521350598144,256.3033222371967,-5.099267007481263,15.359530382620331,20.84173999632068,95.5597040061285,4460.606,-917.206570880673,0.023004292,-1132.152574250174,0.016489012,34.43548,0.44409263,10.46,10.457521,10.462472,45,856.8609079897508,1010.1220985821108
383,4381250547575102208,253.2418467851804,-0.033016536706757374,18.36787853767552,26.076938513968706,59.480502943877184,2566.954,-711.8317387758042,0.023335095,-1483.8213661411446,0.019278174,44.68227,0.15247166,16.801447,16.794415,16.805882,45,651.486075884882,1361.7908904730814
799,4165225959018604288,265.5410429760279,-8.818826128854395,16.928077400391782,11.063357926224503,46.82056420495363,2285.6042,-839.8509462529227,0.020355618,-474.2240222882726,0.015093291,-85.676155,1.1067748,21.351946,21.344124,21.361336,45,779.5052833620005,352.19354662020936
41,4550763526539955712,264.4766236517814,18.596087654354623,42.24633672252947,24.294581084076945,122.55460651085501,6975.85,926.6381166366465,0.01580357,984.455172787448,0.018191148,-10.092475,0.2320928,8.157291,8.156166,8.158322,46,-933.2457350417583,-1040.8737010626487
296,2118424350249708800,278.82950726264227,45.74565421210253,74.39569275800766,21.730785325471125,64.23584173579249,5372.6997,452.36175503345856,0.014467267,363.46612115134076,0.014469481,-32.09769,0.17956334,15.561369,15.557935,15.565119,46,-458.9693734385703,-419.8846494265415
992,2229668951018122112,334.0959759546688,70.9442135471197,110.8783021107678,11.795985237020538,43.78639014812944,3221.004,862.8296004351645,0.016800972,-40.69232497487799,0.016851893,-4.8572884,0.27644745,22.825068,22.819439,22.832478,47,-800.3288025859583,78.17407475117805
5776,2285089319219646976,325.2449396891239,78.82496099942838,114.20612414594342,19.333298903077754,24.177164139769786,1556.4166,1028.76410081798,0.020893622,526.3513770968573,0.02174534,46.15285,0.43226585,41.35415,41.328205,41.379097,47,-966.2633029687739,-488.86962732055724
